asset_id,character_name,category,repository_path,file_name,file_hash_sha256,first_git_commit,first_commit_date,public_release_date,creator,ai_tool_used,human_contribution_summary,based_on_third_party_ip,registration_candidate,notes
"ip-020","구운계란","character-skin","images/skins/grilledegg-PT.png","grilledegg-PT.png","029a9c6858c15630348d592f3fb1fd048f2e7778c032d618b498064b573b53ed","09171a650be2aa247fdc35c846f0bd1a596b4547","2026-04-21T22:23:46+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","구운계란 트레이너 스킨"
"ip-021","구운계란 이놈스케 스킨","third-party-ip-skin","images/skins/inomske.png","inomske.png","d65879179c3087e4c4b8b3202921ffc56124dfd2d5f89df835735aebccc11b4a","7b03812b52474f1ddbc0910c85cd77c36a4786b2","2026-08-03T15:54:50+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","예(이슈 #43 분리 지시)","아니오","이노스케 연상; 서비스 코드 char-grilled-egg-inomske"
"ip-022","기본오이 오죠 이토루 스킨","third-party-ip-skin","images/skins/ozyo.png","ozyo.png","2594b02e29fa4d3d8336044c87a1f4b970a36615554bb4c7073526c83a13d170","2ce879a6d1e98dcecdca2c7653d825c85e17fd6d","2026-07-28T07:51:31+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","예(이슈 #43 분리 지시)","아니오","고죠 사토루 연상; 서비스 코드 char-cucumber-ozyo"
"ip-023","감자","character-skin","images/skins/potato-hot.png","potato-hot.png","039add19a42525d3d736bd4a4538686c10077d7e7172b5f39e0d9b13fc1195bd","202bafd9ef9603a4b58b689417568aa435b3c057","2026-04-21T23:28:24+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","감자 계열 스킨; 기반 캐릭터 관계 소유자 확인 필요"
"ip-024","기본오이 스파이더 계열 스킨","third-party-ip-skin","images/skins/spioi.png","spioi.png","3614f1c0e93685608193ca15cc1d633384e43a4f1a9d1bdef99fded69e55999c","7b03812b52474f1ddbc0910c85cd77c36a4786b2","2026-08-03T15:54:50+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","예(이슈 #43 분리 지시)","아니오","스파이더맨 연상; 내부 상품명은 당신의 친절한 오이"
"ip-025","테토당근","character-skin","images/skins/tetocarrot-rock.png","tetocarrot-rock.png","b48c6755fd926c09fe5047bfc48465f4d29b825934cc5949ef2b21bd7228da75","09171a650be2aa247fdc35c846f0bd1a596b4547","2026-04-21T22:23:46+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","테토당근 락밴드 스킨"
"ip-026","기본오이 홈 도형","brand-logo","images/logo-home.png","logo-home.png","fc0c44cbc1bfa95600c3cd4fd94512e8771452d9cd006cbc73bc6d78d48c310f","c6990811d6ae1d922b58e4bd7dc57afbfbfdbbb5","2026-02-12T09:58:34+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","후속 검토(도형)","www 배포본과 free-3 이모티콘에 동일 바이트 존재"
"ip-027","말린오이닷컴","brand-wordmark","images/logo-word.png","logo-word.png","5c3a09903a47a507dd03fc770560404aa874be7baf74f84f53441ce517aeea17","c6990811d6ae1d922b58e4bd7dc57afbfbfdbbb5","2026-02-12T09:58:34+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","후속 검토(로고상표)","말린오이닷컴 한글 워드마크; 문자상표와 별도 검토"
"ip-028","기본오이 공부 도형","service-logo","images/logo-study.png","logo-study.png","acea86aa51284ba8828bf4a81100f0c92a88761c8fa29c7261a2d195b7664d73","c6990811d6ae1d922b58e4bd7dc57afbfbfdbbb5","2026-02-12T09:58:34+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","후속 검토(도형)","공부 서비스 캐릭터 도형"
"ip-029","기본오이 업무 도형","service-logo","images/logo-work.png","logo-work.png","9672076acbe72835802f9833e78bd01a0cb705da6455ba584050d276aed3f847","c6990811d6ae1d922b58e4bd7dc57afbfbfdbbb5","2026-02-12T09:58:34+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","후속 검토(도형)","업무 서비스 캐릭터 도형"
"ip-030","기본오이 계열 일정 도형","service-logo","images/logo-event.png","logo-event.png","853687a0d625d2b1567a8798aa415a057d0548b797b9558339ec74c8d14997ca","c6990811d6ae1d922b58e4bd7dc57afbfbfdbbb5","2026-02-12T09:58:34+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","후속 검토(도형)","오이 2종과 하트가 포함된 서비스 도형"
"ip-031","기본오이 커리어 도형","service-logo","images/logo-career.png","logo-career.png","1578afcd41a95bc31b9e2c6eecebcdc317d97ae6bbfee64464f1374623993ca7","c6990811d6ae1d922b58e4bd7dc57afbfbfdbbb5","2026-02-12T09:58:34+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","후속 검토(도형)","커리어 서비스 캐릭터 도형"
"ip-032","기본오이 모바일 앱 장면","mobile-source-art","apps/cucumber-grow-mobile/assets/icon-source.png","icon-source.png","640c8ec0c4ea3bbb64a1a3f1af576f7a10bdb6f1a14885db7549d06bfa5d4229","7b03812b52474f1ddbc0910c85cd77c36a4786b2","2026-08-03T15:54:50+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","splash-source.png와 동일 바이트"
"ip-033","기본오이 모바일 앱 장면","distribution-copy","apps/cucumber-grow-mobile/assets/splash-source.png","splash-source.png","640c8ec0c4ea3bbb64a1a3f1af576f7a10bdb6f1a14885db7549d06bfa5d4229","7b03812b52474f1ddbc0910c85cd77c36a4786b2","2026-08-03T15:54:50+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","아니오(동일본)","icon-source.png와 동일 바이트"
"ip-034","기본오이 모바일 전경","mobile-source-art","apps/cucumber-grow-mobile/assets/app-icon/icon-foreground.png","icon-foreground.png","8eeb9655978ec6a6dadad9367f09640e3a15e17c91d9eb6b92e2910832438c1b","7b03812b52474f1ddbc0910c85cd77c36a4786b2","2026-08-03T15:54:50+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","splash-art/logo.png와 동일 바이트"
"ip-035","기본오이 모바일 아이콘","mobile-source-art","apps/cucumber-grow-mobile/assets/app-icon/icon-only.png","icon-only.png","3b39de873331ac89e794b1efcab6c406926895bb27b385d00bdcafee5d04235c","7b03812b52474f1ddbc0910c85cd77c36a4786b2","2026-08-03T15:54:50+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","오이키우기 앱 아이콘 합성본"
"ip-036","기본오이 모바일 전경","distribution-copy","apps/cucumber-grow-mobile/assets/splash-art/logo.png","logo.png","8eeb9655978ec6a6dadad9367f09640e3a15e17c91d9eb6b92e2910832438c1b","7b03812b52474f1ddbc0910c85cd77c36a4786b2","2026-08-03T15:54:50+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","아니오(동일본)","app-icon/icon-foreground.png와 동일 바이트"
"ip-037","오이소녀 이모티콘 1","emoticon-variant","images/emoticons/emo_cucumbergirl_1.png","emo_cucumbergirl_1.png","58bc5edf7827ae03742e46d4d3b67378a1f3b840984953fdc47f589552186f95","4d0120695dc202b41abc39d8a04eb0b7eef251ca","2026-06-23T19:33:21+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","오이소녀 이모티콘 세트"
"ip-038","오이소녀 이모티콘 2","emoticon-variant","images/emoticons/emo_cucumbergirl_2.png","emo_cucumbergirl_2.png","db72132e7d98daf5daa886ec68cc6466acedb2b1e01dac1832977d2ae39f33a0","4d0120695dc202b41abc39d8a04eb0b7eef251ca","2026-06-23T19:33:21+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","오이소녀 이모티콘 세트"
"ip-039","오이소녀 이모티콘 3","emoticon-variant","images/emoticons/emo_cucumbergirl_3.png","emo_cucumbergirl_3.png","1048ace6617ae995e70be6d594f1c89a3e1d84bab2f708ff8a6161b3cd9b8a2b","4d0120695dc202b41abc39d8a04eb0b7eef251ca","2026-06-23T19:33:21+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","오이소녀 이모티콘 세트"
"ip-040","오이소녀 이모티콘 4","emoticon-variant","images/emoticons/emo_cucumbergirl_4.png","emo_cucumbergirl_4.png","7b5a00ee395be2d29e5f402144189e430eeea68a0e906025d504c4bf7f6109e8","4d0120695dc202b41abc39d8a04eb0b7eef251ca","2026-06-23T19:33:21+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","오이소녀 이모티콘 세트"
"ip-041","오이소녀 이모티콘 5","emoticon-variant","images/emoticons/emo_cucumbergirl_5.png","emo_cucumbergirl_5.png","715d90286bf8fca8b3a2d02f2bc71b834b5b64d0c685e3f311b5b513c6010dd1","4d0120695dc202b41abc39d8a04eb0b7eef251ca","2026-06-23T19:33:21+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","오이소녀 이모티콘 세트"
"ip-042","오이소녀 이모티콘 6","emoticon-variant","images/emoticons/emo_cucumbergirl_6.png","emo_cucumbergirl_6.png","db40c9210b56133c030550344440558e13086bda013485e6ba16b41c7a17df70","4d0120695dc202b41abc39d8a04eb0b7eef251ca","2026-06-23T19:33:21+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","오이소녀 이모티콘 세트"
"ip-043","오이소녀 이모티콘 7","emoticon-variant","images/emoticons/emo_cucumbergirl_7.png","emo_cucumbergirl_7.png","b4950272f44a26fc222d8cba86d81d2dd01a034899b4a8445971f1e11cb635bd","4d0120695dc202b41abc39d8a04eb0b7eef251ca","2026-06-23T19:33:21+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","오이소녀 이모티콘 세트"
"ip-044","오이소녀 이모티콘 8","emoticon-variant","images/emoticons/emo_cucumbergirl_8.png","emo_cucumbergirl_8.png","37d248dd67a6b0f33320538121d24a5c9e5cad02f29b86dbcb797139beef9283","4d0120695dc202b41abc39d8a04eb0b7eef251ca","2026-06-23T19:33:21+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","오이소녀 이모티콘 세트"
"ip-045","오이소녀 이모티콘 9","emoticon-variant","images/emoticons/emo_cucumbergirl_9.png","emo_cucumbergirl_9.png","3f585a81fb88390d345c17ac704f8328a6095920155752b3cfb91ef10b20021b","4d0120695dc202b41abc39d8a04eb0b7eef251ca","2026-06-23T19:33:21+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","오이소녀 이모티콘 세트"
"ip-046","오이소녀 이모티콘 10","emoticon-variant","images/emoticons/emo_cucumbergirl_10.png","emo_cucumbergirl_10.png","5756c3e210f37469bf014ed1ab87bd12b68a5c5850ca83e7f888551b16819e66","4d0120695dc202b41abc39d8a04eb0b7eef251ca","2026-06-23T19:33:21+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","오이소녀 이모티콘 세트"
"ip-047","오이소녀 앨범 아트","album-art-variant","images/BGM/cucumbergirl-debuet.png","cucumbergirl-debuet.png","cb2e003caba2ea8ee8665516dfc280541a172a537c0860b7d1c35d1a63fe45ad","781a9983c18ae95c77e4f784d2ab9ad44b4f21c9","2026-04-15T20:10:54+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","오이소녀 관련 BGM 앨범 아트"
"ip-048","기본오이 춤 애니메이션","animation-variant","images/calendar/dancing-cucumber-sprite-sheet.png","dancing-cucumber-sprite-sheet.png","2db6c66dc02cfb9d86f69d5315c3745f2846cc0eaa261556a73c1044d94dba7b","c5fc9f549522a8d87de5c06d012f8a42368d7ce3","2026-07-30T06:24:18+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","캘린더 완료 애니메이션 스프라이트 시트"
"ip-049","기본오이 학습 완료 장면","scene-variant","images/calendar/study-completion-celebration.png","study-completion-celebration.png","6b04bca26a81cb77d4b37797d9700b59482abb306562ae310242ffecffd351a4","7b03812b52474f1ddbc0910c85cd77c36a4786b2","2026-08-03T15:54:50+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","학습 완료 축하 장면"
"ip-050","기본오이 홈 도형","distribution-copy","images/emoticons/free-3.png","free-3.png","fc0c44cbc1bfa95600c3cd4fd94512e8771452d9cd006cbc73bc6d78d48c310f","e12bd116fb4ae20fc4a453fe9dd440ae29c64a6d","2026-04-02T21:18:25+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","아니오(동일본)","images/logo-home.png와 SHA-256 동일"
"ip-051","기본오이 홈 도형","distribution-copy","www/images/logo-home.png","logo-home.png","fc0c44cbc1bfa95600c3cd4fd94512e8771452d9cd006cbc73bc6d78d48c310f","155e232a89ead62e1750e8a68ebc01ce99eda153","2026-05-20T22:52:19+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","아니오(동일본)","images/logo-home.png의 웹 배포 동일본"
"ip-052","말린오이닷컴","distribution-copy","www/images/logo-word.png","logo-word.png","5c3a09903a47a507dd03fc770560404aa874be7baf74f84f53441ce517aeea17","155e232a89ead62e1750e8a68ebc01ce99eda153","2026-05-20T22:52:19+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","아니오(동일본)","images/logo-word.png의 웹 배포 동일본"
